epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.25791,1.77239,3.70165,3.42376,1.24005,0.011,0.63462,0.01315,0.00842,0.011,0.63462,0.01445,0.00843,1.37602,2.78842,3.40411,1.16322,0.000650794,0.000650794,0.000650794
2,15.8537,1.59772,3.13822,3.14056,1.11649,0.01367,0.78846,0.23521,0.14974,0.01333,0.76923,0.2867,0.16532,1.39333,3.27935,3.14442,1.05462,0.00129137,0.00129137,0.00129137
3,22.4825,1.58354,2.90826,3.04233,1.06728,0.01367,0.78846,0.23521,0.14974,0.01333,0.76923,0.2867,0.16532,1.39333,3.27935,3.14442,1.05462,0.00190556,0.00190556,0.00190556
4,28.6909,1.75681,3.13995,2.89026,1.28178,0.11328,0.34615,0.07318,0.01711,0.29549,0.25,0.16927,0.04302,1.91071,3.28567,3.05057,1.52022,0.0018812,0.0018812,0.0018812
5,34.4385,1.70194,3.69149,2.72445,1.21326,0.52446,0.55769,0.48444,0.17589,0.33499,0.50378,0.28687,0.05868,1.75877,5.39015,2.15175,1.24832,0.0018416,0.0018416,0.0018416
6,40.1016,1.58936,4.46678,2.49341,1.14381,0.52446,0.55769,0.48444,0.17589,0.33499,0.50378,0.28687,0.05868,1.75877,5.39015,2.15175,1.24832,0.001802,0.001802,0.001802
7,45.9374,1.72046,3.82095,2.43029,1.17522,0.65096,0.59615,0.59557,0.25441,0.47029,0.49521,0.32099,0.08678,1.7721,5.64257,2.06383,1.20768,0.0017624,0.0017624,0.0017624
8,51.9864,1.69636,3.46749,2.27584,1.17412,0.7751,0.7291,0.77534,0.41444,0.79084,0.73077,0.77392,0.27648,1.54999,3.90787,1.8862,1.17923,0.0017228,0.0017228,0.0017228
9,57.798,1.50169,2.83251,2.00901,1.15304,0.7751,0.7291,0.77534,0.41444,0.79084,0.73077,0.77392,0.27648,1.54999,3.90787,1.8862,1.17923,0.0016832,0.0016832,0.0016832
10,63.3952,1.54182,2.67086,1.89919,1.13238,0.86339,0.72928,0.8513,0.49894,0.86339,0.72928,0.85449,0.39593,1.39431,3.04353,1.59681,1.14252,0.0016436,0.0016436,0.0016436
11,68.8521,1.49052,2.51318,1.76593,1.09854,0.82034,0.67308,0.82205,0.42129,0.82034,0.67308,0.81317,0.37345,1.4797,3.05827,1.69905,1.1896,0.001604,0.001604,0.001604
12,74.4146,1.62059,2.54745,1.75538,1.21576,0.82034,0.67308,0.82205,0.42129,0.82034,0.67308,0.81317,0.37345,1.4797,3.05827,1.69905,1.1896,0.0015644,0.0015644,0.0015644
13,79.3879,1.33202,2.39794,1.74496,1.06495,0.85025,0.65518,0.83353,0.43669,0.85025,0.65518,0.79457,0.39046,1.42301,3.15162,1.57692,1.14206,0.0015248,0.0015248,0.0015248
14,84.3888,1.32994,2.29972,1.77916,1.08023,0.67939,0.80769,0.82901,0.48712,0.83066,0.69231,0.78923,0.38617,1.25135,2.88915,1.4651,1.05723,0.0014852,0.0014852,0.0014852
15,89.3129,1.19538,2.34696,1.64802,1.03227,0.67939,0.80769,0.82901,0.48712,0.83066,0.69231,0.78923,0.38617,1.25135,2.88915,1.4651,1.05723,0.0014456,0.0014456,0.0014456
16,94.5257,1.36083,2.44225,1.64479,1.06373,0.79956,0.76923,0.82452,0.54181,0.87738,0.68806,0.77295,0.36549,1.17665,3.16781,1.40395,1.02148,0.001406,0.001406,0.001406
17,99.7715,1.23426,2.22807,1.45936,1.00511,0.90517,0.73434,0.8371,0.57523,0.90517,0.73434,0.82726,0.44071,1.17159,2.89351,1.24423,1.00283,0.0013664,0.0013664,0.0013664
18,104.943,1.37931,2.10037,1.69822,1.03751,0.90517,0.73434,0.8371,0.57523,0.90517,0.73434,0.82726,0.44071,1.17159,2.89351,1.24423,1.00283,0.0013268,0.0013268,0.0013268
19,110.196,1.27669,2.15479,1.55023,1.06245,0.89945,0.8602,0.89943,0.58038,0.97499,0.76923,0.86411,0.47614,1.24423,2.63176,1.18455,1.03837,0.0012872,0.0012872,0.0012872
20,115.265,1.22688,2.16714,1.47176,0.99702,0.94834,0.78846,0.89585,0.60562,0.94834,0.78846,0.89493,0.5163,1.15975,2.44379,1.14674,1.00491,0.0012476,0.0012476,0.0012476
21,120.321,1.33875,2.2158,1.56073,0.9844,0.94834,0.78846,0.89585,0.60562,0.94834,0.78846,0.89493,0.5163,1.15975,2.44379,1.14674,1.00491,0.001208,0.001208,0.001208
22,125.456,1.16293,2.0877,1.40073,0.99103,0.97663,0.80369,0.89497,0.60633,0.97663,0.80369,0.89365,0.50805,1.13924,2.42014,1.10389,0.99628,0.0011684,0.0011684,0.0011684
23,130.808,1.12196,2.09293,1.33378,1.01634,0.9552,0.82014,0.91092,0.62523,0.9552,0.82014,0.8943,0.50723,1.13122,2.43213,1.06666,1.00202,0.0011288,0.0011288,0.0011288
24,135.771,1.12651,1.95667,1.25155,0.95963,0.9552,0.82014,0.91092,0.62523,0.9552,0.82014,0.8943,0.50723,1.13122,2.43213,1.06666,1.00202,0.0010892,0.0010892,0.0010892
25,140.609,1.21799,1.94681,1.26651,0.9676,0.92596,0.84615,0.93206,0.63906,0.95224,0.76693,0.88179,0.49211,1.1103,2.47931,1.08254,0.98684,0.0010496,0.0010496,0.0010496
26,145.937,1.08926,2.11616,1.2754,0.96151,0.94711,0.84615,0.94843,0.62073,0.92523,0.82692,0.89846,0.46662,1.12005,2.69149,1.05053,0.98799,0.00101,0.00101,0.00101
27,150.92,1.09441,1.93455,1.21192,0.9714,0.94711,0.84615,0.94843,0.62073,0.92523,0.82692,0.89846,0.46662,1.12005,2.69149,1.05053,0.98799,0.0009704,0.0009704,0.0009704
28,156.01,1.01536,2.0392,1.1484,0.96788,0.88377,0.8774,0.93737,0.64135,0.91577,0.83648,0.89735,0.49732,1.10275,2.5381,1.1038,0.97732,0.0009308,0.0009308,0.0009308
29,161.117,1.03512,1.94358,1.17198,0.93904,0.9009,0.90385,0.93145,0.64319,0.9009,0.90385,0.90805,0.50752,1.05524,2.28755,1.04504,0.96451,0.0008912,0.0008912,0.0008912
30,166.413,1.15895,2.04246,1.28728,0.95854,0.9009,0.90385,0.93145,0.64319,0.9009,0.90385,0.90805,0.50752,1.05524,2.28755,1.04504,0.96451,0.0008516,0.0008516,0.0008516
31,171.347,1.01643,1.97342,1.13231,0.9307,0.88457,0.90385,0.92034,0.6349,0.88457,0.90385,0.8922,0.51757,1.08953,2.24429,1.03009,0.98043,0.000812,0.000812,0.000812
32,176.533,1.01632,1.88069,1.10717,0.92469,0.93273,0.90385,0.94369,0.64803,0.90943,0.88462,0.89598,0.51227,1.08286,2.38229,0.97573,0.98656,0.0007724,0.0007724,0.0007724
33,181.587,1.04095,1.88477,1.12611,0.97163,0.93273,0.90385,0.94369,0.64803,0.90943,0.88462,0.89598,0.51227,1.08286,2.38229,0.97573,0.98656,0.0007328,0.0007328,0.0007328
34,186.728,1.18976,2.07729,1.21632,0.98368,0.93067,0.90385,0.94981,0.65552,0.91055,0.88462,0.90162,0.50706,1.07604,2.4367,0.94659,0.98335,0.0006932,0.0006932,0.0006932
35,192.088,1.11949,1.88227,1.18977,0.97237,0.93067,0.90385,0.94981,0.65552,0.91055,0.88462,0.90162,0.50706,1.07604,2.4367,0.94659,0.98335,0.0006536,0.0006536,0.0006536
36,196.993,1.07889,1.80312,1.08638,0.92188,0.92024,0.90385,0.94611,0.68079,0.90017,0.88462,0.90128,0.52818,1.01842,2.38442,0.95779,0.96369,0.000614,0.000614,0.000614
37,202.268,0.96375,1.89422,1.06718,0.9385,0.97867,0.88242,0.95592,0.70981,0.95735,0.86329,0.9188,0.5653,0.96765,2.26405,0.93907,0.93902,0.0005744,0.0005744,0.0005744
38,207.404,1.06185,1.87486,1.12315,0.93625,0.97867,0.88242,0.95592,0.70981,0.95735,0.86329,0.9188,0.5653,0.96765,2.26405,0.93907,0.93902,0.0005348,0.0005348,0.0005348
39,212.143,1.09437,1.85133,1.06336,0.94392,0.97866,0.88179,0.95817,0.71787,0.95732,0.86265,0.90913,0.55326,0.97137,2.27557,0.96419,0.939,0.0004952,0.0004952,0.0004952
40,217.087,1.03543,1.82598,1.08537,0.9348,0.92049,0.89068,0.9525,0.70978,0.90062,0.87145,0.90588,0.53929,0.96177,2.41065,0.98812,0.94797,0.0004556,0.0004556,0.0004556
41,221.955,1.01623,1.83169,1.0178,0.91745,0.92049,0.89068,0.9525,0.70978,0.90062,0.87145,0.90588,0.53929,0.96177,2.41065,0.98812,0.94797,0.000416,0.000416,0.000416
42,227.097,0.91288,1.78299,0.97993,0.90459,0.9571,0.85812,0.94745,0.69702,0.89181,0.88462,0.90258,0.50098,0.99807,2.53365,0.98759,0.96121,0.0003764,0.0003764,0.0003764
43,232.072,0.98499,1.87118,1.04776,0.92981,0.95806,0.87862,0.9523,0.68993,0.93709,0.85939,0.92027,0.50035,1.00124,2.49121,0.94002,0.95878,0.0003368,0.0003368,0.0003368
44,236.93,0.93567,1.83482,0.97743,0.88284,0.95806,0.87862,0.9523,0.68993,0.93709,0.85939,0.92027,0.50035,1.00124,2.49121,0.94002,0.95878,0.0002972,0.0002972,0.0002972
45,241.955,0.9158,1.77681,0.9618,0.92258,0.97825,0.86486,0.95282,0.67743,0.95651,0.84582,0.91166,0.50234,1.0103,2.48986,0.94336,0.95758,0.0002576,0.0002576,0.0002576
46,246.774,0.95144,1.88542,1.01004,0.9057,0.9541,0.88462,0.96108,0.68113,0.93319,0.86538,0.91543,0.51589,0.99803,2.43318,0.89565,0.95153,0.000218,0.000218,0.000218
47,251.807,1.00263,2.08906,1.02504,0.90868,0.9541,0.88462,0.96108,0.68113,0.93319,0.86538,0.91543,0.51589,0.99803,2.43318,0.89565,0.95153,0.0001784,0.0001784,0.0001784
48,256.524,0.95828,1.72247,0.94931,0.92171,0.95096,0.92308,0.95513,0.69613,0.93046,0.90385,0.91454,0.54062,0.99589,2.44214,0.90002,0.95042,0.0001388,0.0001388,0.0001388
