epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.8982,1.69259,2.95794,3.39391,1.18339,0.01142,0.65385,0.01415,0.00653,0.01175,0.67308,0.01454,0.00659,1.478,2.87806,3.39326,1.0145,0.000650794,0.000650794,0.000650794
2,10.3267,1.7913,2.82876,3.20904,1.12842,0.015,0.86538,0.0567,0.03126,0.015,0.86538,0.05817,0.03047,1.53409,2.36294,3.24804,1.05871,0.00127398,0.00127398,0.00127398
3,14.5997,1.64339,2.30587,3.11722,1.08468,0.015,0.86538,0.0567,0.03126,0.015,0.86538,0.05817,0.03047,1.53409,2.36294,3.24804,1.05871,0.00185317,0.00185317,0.00185317
4,18.9567,1.81412,3.49523,3.07898,1.22187,0.1364,0.13462,0.08528,0.02719,0.37606,0.21154,0.18114,0.07601,1.81103,2.96964,2.97404,1.3044,0.001802,0.001802,0.001802
5,23.2997,1.64882,5.10634,2.82355,1.14552,0.37791,0.40385,0.3721,0.13138,0.11327,0.15385,0.06404,0.0209,1.58936,5.90098,2.44784,1.21115,0.001736,0.001736,0.001736
6,27.6308,1.65608,6.48865,2.77748,1.12154,0.37791,0.40385,0.3721,0.13138,0.11327,0.15385,0.06404,0.0209,1.58936,5.90098,2.44784,1.21115,0.00167,0.00167,0.00167
7,32.0036,1.63372,3.39454,2.56996,1.1572,0.53425,0.36538,0.47958,0.2318,0.53891,0.36538,0.45576,0.19586,1.60072,3.90433,2.36444,1.23823,0.001604,0.001604,0.001604
8,36.4273,1.59906,2.82993,2.3812,1.13191,0.71853,0.5,0.6489,0.33158,0.74617,0.51923,0.67879,0.33344,1.57509,2.30731,1.93166,1.21561,0.001538,0.001538,0.001538
9,40.6848,1.59432,2.63351,2.40733,1.10021,0.71853,0.5,0.6489,0.33158,0.74617,0.51923,0.67879,0.33344,1.57509,2.30731,1.93166,1.21561,0.001472,0.001472,0.001472
10,45.0356,1.48418,2.41028,2.0433,1.10218,0.6523,0.65385,0.73073,0.43773,0.69113,0.69231,0.75197,0.40398,1.4125,2.34444,1.6569,1.10345,0.001406,0.001406,0.001406
11,49.4698,1.44414,2.11607,1.79699,1.05462,0.63991,0.82026,0.76453,0.47681,0.63991,0.82026,0.76453,0.43258,1.26187,2.38228,1.44697,1.03754,0.00134,0.00134,0.00134
12,53.7287,1.3968,1.93287,1.83622,1.05092,0.63991,0.82026,0.76453,0.47681,0.63991,0.82026,0.76453,0.43258,1.26187,2.38228,1.44697,1.03754,0.001274,0.001274,0.001274
13,58.0848,1.25832,1.83865,1.81976,1.00707,0.81047,0.80769,0.83886,0.53092,0.81047,0.80769,0.84274,0.44644,1.24359,2.25369,1.31672,1.01707,0.001208,0.001208,0.001208
14,62.4565,1.27725,1.95669,1.73295,1.02201,0.83579,0.78846,0.83726,0.52878,0.83579,0.78846,0.84033,0.42525,1.26833,2.10955,1.34763,1.0197,0.001142,0.001142,0.001142
15,66.9698,1.28258,2.00393,1.88344,1.07745,0.83579,0.78846,0.83726,0.52878,0.83579,0.78846,0.84033,0.42525,1.26833,2.10955,1.34763,1.0197,0.001076,0.001076,0.001076
