epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.73737,0,0,5.06562,0,0,0,0,0,0,0,0,0,0,0,8.14935,0,0.000650794,0.000650794,0.000650794
2,7.9546,0,0,4.91826,0,0,0,0,0,0,0,0,0,0,0,8.29833,0,0.00130442,0.00130442,0.00130442
3,11.3331,0,0,4.85719,0,0,0,0,0,0,0,0,0,0,0,8.29833,0,0.00194484,0.00194484,0.00194484
4,14.6193,0,0,4.64285,0,0,0,0,0,0,0,0,0,0,0,7.55614,0,0.0019406,0.0019406,0.0019406
5,17.8742,0,0,4.54144,0,0,0,0,0,0,0,0,0,0,0,6.08264,0,0.0019208,0.0019208,0.0019208
6,21.0988,0,0,4.42703,0,0,0,0,0,0,0,0,0,0,0,6.08264,0,0.001901,0.001901,0.001901
7,24.3782,0,0,4.23233,0,0,0,0,0,0,0,0,0,0,0,6.73461,0,0.0018812,0.0018812,0.0018812
8,27.8008,0,0,4.13278,0,0,0,0,0,0,0,0,0,0,0,5.19343,0,0.0018614,0.0018614,0.0018614
9,31.0053,0,0,4.01397,0,0,0,0,0,0,0,0,0,0,0,5.19343,0,0.0018416,0.0018416,0.0018416
10,34.3707,0,0,3.849,0,0,0,0,0,0,0,0,0,0,0,5.34753,0,0.0018218,0.0018218,0.0018218
11,37.8522,0,0,3.76271,0,0,0,0,0,0,0,0,0,0,0,5.36753,0,0.001802,0.001802,0.001802
12,41.089,0,0,3.64868,0,0,0,0,0,0,0,0,0,0,0,5.36753,0,0.0017822,0.0017822,0.0017822
13,44.3525,0,0,3.51443,0,0,0,0,0,0,0,0,0,0,0,4.95637,0,0.0017624,0.0017624,0.0017624
14,47.705,0,0,3.4383,0,0,0,0,0,0,0,0,0,0,0,4.78101,0,0.0017426,0.0017426,0.0017426
15,50.8505,0,0,3.3345,0,0,0,0,0,0,0,0,0,0,0,4.78101,0,0.0017228,0.0017228,0.0017228
16,54.0569,0,0,3.22461,0,0,0,0,0,0,0,0,0,0,0,4.78807,0,0.001703,0.001703,0.001703
17,57.2399,0,0,3.1668,0,0,0,0,0,0,0,0,0,0,0,4.56186,0,0.0016832,0.0016832,0.0016832
18,60.3981,0,0,3.06677,0,0,0,0,0,0,0,0,0,0,0,4.56186,0,0.0016634,0.0016634,0.0016634
19,63.5967,0,0,2.99191,0,0,0,0,0,0,0,0,0,0,0,4.52648,0,0.0016436,0.0016436,0.0016436
20,66.7909,0,0,2.93285,0,0,0,0,0,0,0,0,0,0,0,4.35146,0,0.0016238,0.0016238,0.0016238
21,70.0153,0,0,2.851,0,0,0,0,0,0,0,0,0,0,0,4.35146,0,0.001604,0.001604,0.001604
22,73.3038,0,0,2.78804,0,0,0,0,0,0,0,0,0,0,0,4.31867,0,0.0015842,0.0015842,0.0015842
23,76.5644,0,0,2.74183,0,0,0,0,0,0,0,0,0,0,0,3.99222,0,0.0015644,0.0015644,0.0015644
24,79.7818,0,0,2.66386,0,0,0,0,0,0,0,0,0,0,0,3.99222,0,0.0015446,0.0015446,0.0015446
25,83.0204,0,0,2.6048,0,0,0,0,0,0,0,0,0,0,0,3.76866,0,0.0015248,0.0015248,0.0015248
26,86.2753,0,0,2.56508,0,0,0,0,0,0,0,0,0,0,0,3.76402,0,0.001505,0.001505,0.001505
27,89.4851,0,0,2.49661,0,0,0,0,0,0,0,0,0,0,0,3.76402,0,0.0014852,0.0014852,0.0014852
28,92.7107,0,0,2.4566,0,0,0,0,0,0,0,0,0,0,0,2.53641,0,0.0014654,0.0014654,0.0014654
29,95.9286,0,0,2.42315,0,0,0,0,0,0,0,0,0,0,0,2.73426,0,0.0014456,0.0014456,0.0014456
30,99.1356,0,0,2.36061,0,0,0,0,0,0,0,0,0,0,0,2.73426,0,0.0014258,0.0014258,0.0014258
31,102.429,0,0,2.32936,0,0,0,0,0,0,0,0,0,0,0,2.91692,0,0.001406,0.001406,0.001406
32,105.66,0,0,2.3009,0,0,0,0,0,0,0,0,0,0,0,3.30622,0,0.0013862,0.0013862,0.0013862
33,108.931,0,0,2.24125,0,0,0,0,0,0,0,0,0,0,0,3.30622,0,0.0013664,0.0013664,0.0013664
34,112.17,0,0,2.21534,0,0,0,0,0,0,0,0,0,0,0,3.30457,0,0.0013466,0.0013466,0.0013466
35,115.416,0,0,2.19176,0,0,0,0,0,0,0,0,0,0,0,3.30457,0,0.0013268,0.0013268,0.0013268
36,118.628,0,0,2.13683,0,0,0,0,0,0,0,0,0,0,0,3.3213,0,0.001307,0.001307,0.001307
37,121.837,0,0,2.11281,0,0,0,0,0,0,0,0,0,0,0,3.11127,0,0.0012872,0.0012872,0.0012872
38,125.068,0,0,2.08414,0,0,0,0,0,0,0,0,0,0,0,3.11127,0,0.0012674,0.0012674,0.0012674
39,128.516,0,0,2.03887,0,0,0,0,0,0,0,0,0,0,0,3.08662,0,0.0012476,0.0012476,0.0012476
40,131.931,0,0,2.01553,0,0,0,0,0,0,0,0,0,0,0,3.10429,0,0.0012278,0.0012278,0.0012278
41,135.147,0,0,1.98936,0,0,0,0,0,0,0,0,0,0,0,3.10429,0,0.001208,0.001208,0.001208
42,138.45,0,0,1.953,0,0,0,0,0,0,0,0,0,0,0,3.03825,0,0.0011882,0.0011882,0.0011882
43,141.878,0,0,1.93243,0,0,0,0,0,0,0,0,0,0,0,2.97751,0,0.0011684,0.0011684,0.0011684
44,145.137,0,0,1.9075,0,0,0,0,0,0,0,0,0,0,0,2.97751,0,0.0011486,0.0011486,0.0011486
45,148.465,0,0,1.87542,0,0,0,0,0,0,0,0,0,0,0,2.98212,0,0.0011288,0.0011288,0.0011288
46,151.648,0,0,1.85633,0,0,0,0,0,0,0,0,0,0,0,2.93829,0,0.001109,0.001109,0.001109
47,154.82,0,0,1.83222,0,0,0,0,0,0,0,0,0,0,0,2.93829,0,0.0010892,0.0010892,0.0010892
48,158.056,0,0,1.80215,0,0,0,0,0,0,0,0,0,0,0,2.91852,0,0.0010694,0.0010694,0.0010694
49,161.323,0,0,1.78533,0,0,0,0,0,0,0,0,0,0,0,2.7938,0,0.0010496,0.0010496,0.0010496
50,164.515,0,0,1.75967,0,0,0,0,0,0,0,0,0,0,0,2.7938,0,0.0010298,0.0010298,0.0010298
51,167.732,0,0,1.73518,0,0,0,0,0,0,0,0,0,0,0,2.77933,0,0.00101,0.00101,0.00101
52,170.948,0,0,1.72031,0,0,0,0,0,0,0,0,0,0,0,2.74763,0,0.0009902,0.0009902,0.0009902
53,174.213,0,0,1.69643,0,0,0,0,0,0,0,0,0,0,0,2.74763,0,0.0009704,0.0009704,0.0009704
54,177.5,0,0,1.67628,0,0,0,0,0,0,0,0,0,0,0,2.74958,0,0.0009506,0.0009506,0.0009506
55,180.724,0,0,1.66121,0,0,0,0,0,0,0,0,0,0,0,2.6733,0,0.0009308,0.0009308,0.0009308
56,183.932,0,0,1.64485,0,0,0,0,0,0,0,0,0,0,0,2.6733,0,0.000911,0.000911,0.000911
57,187.193,0,0,1.62296,0,0,0,0,0,0,0,0,0,0,0,2.63142,0,0.0008912,0.0008912,0.0008912
58,190.465,0,0,1.61102,0,0,0,0,0,0,0,0,0,0,0,2.63955,0,0.0008714,0.0008714,0.0008714
59,193.819,0,0,1.59055,0,0,0,0,0,0,0,0,0,0,0,2.63955,0,0.0008516,0.0008516,0.0008516
60,197.134,0,0,1.57501,0,0,0,0,0,0,0,0,0,0,0,2.53425,0,0.0008318,0.0008318,0.0008318
61,200.435,0,0,1.56308,0,0,0,0,0,0,0,0,0,0,0,2.39403,0,0.000812,0.000812,0.000812
62,203.634,0,0,1.53998,0,0,0,0,0,0,0,0,0,0,0,2.39403,0,0.0007922,0.0007922,0.0007922
63,207.071,0,0,1.52876,0,0,0,0,0,0,0,0,0,0,0,2.40412,0,0.0007724,0.0007724,0.0007724
